Plant.Id	Plant.Name	State.ID	Latitude	Longitude	Fuel 	Prime.Mover	Cooling.System	CHP 	Generation.(MWh) 	Consolidated.Description	Area.ID
50392	Eielson AFB Central Heat & Power Plant	AK	64.67141	-147.075988	CL	ST		Y	68209	1	1
50308	Utility Plants Section	AK	64.825601	-147.648627	CL	ST		Y	71042.994	1	1
79	Aurora Energy LLC Chena	AK	64.847743	-147.735063	CL	ST		Y	191062	1	1
56	Charles R Lowman	AL	31.488019	-87.910747	CL	ST	MULTI	N	1876861.007	1	2
10	Greene County	AL	32.6017	-87.7811	CL	ST	ON	N	2756619.032	1	2
47	Colbert	AL	34.7439	-87.8486	CL	ST	ON	N	3588287.031	1	2
50	Widows Creek	AL	34.883022	-85.755253	CL	ST	ON	N	3705847.958	1	2
8	Gorgas	AL	33.644344	-87.196486	CL	ST	ON	N	5247433.018	1	2
26	E C Gaston	AL	33.244211	-86.458056	CL	ST	ON	N	6432608.962	1	2
6002	James H Miller Jr	AL	33.6319	-87.0597	CL	ST	RTND	N	18478397.24	1	2
6138	Flint Creek	AR	36.2561	-94.5241	CL	ST	RC	N	3635660.007	1	3
56456	Plum Point Energy Station	AR	35.6644	-89.9489	CL	ST	RTID	N	3626618.97	1	3
56564	John W Turk Jr Power Plant	AR	33.649722	-93.811944	CL	ST	RTID	N	4422640.975	1	3
6009	White Bluff	AR	34.4228	-92.1406	CL	ST	RTND	N	10526995.36	1	3
6641	Independence Steam Electric Station	AR	35.678442	-91.408761	CL	ST	RTND	N	10990483.71	1	3
113	Cholla	AZ	34.9394	-110.3033	CL	ST	MULTI	N	6630104.983	1	4
160	Apache Station	AZ	32.0603	-109.8931	CL	ST	RTID	N	2620963.018	1	4
6177	Coronado	AZ	34.5789	-109.2708	CL	ST	RTID	N	5419903.049	1	4
8223	Springerville	AZ	34.3186	-109.1639	CL	ST	RTID	N	10534766.78	1	4
4941	Navajo	AZ	36.9047	-111.3886	CL	ST	RTID	N	17297076.44	1	4
10002	ACE Cogeneration Facility	CA	35.765767	-117.383584	CL	ST	RTID	Y	331215	1	5
470	Comanche (CO)	CO	38.2081	-104.5747	CL	ST	FDHB	N	8289783.03	1	6
477	Valmont	CO	40.0195	-105.202	CL	ST	RC	N	1047943.048	1	6
6761	Rawhide	CO	40.860905	-105.021207	CL	ST	RC	N	2167444.966	1	6
527	Nucla	CO	38.2383	-108.5069	CL	ST	RTID	N	417583.997	1	6
492	Martin Drake	CO	38.824444	-104.833333	CL	ST	RTID	N	1169606.02	1	6
8219	Ray D Nixon	CO	38.633451	-104.70577	CL	ST	RTID	N	1328386.003	1	6
6248	Pawnee	CO	40.2217	-103.6803	CL	ST	RTID	N	2704997.979	1	6
469	Cherokee	CO	39.807275	-104.964548	CL	ST	RTID	N	3075374.027	1	6
525	Hayden	CO	40.4856	-107.185	CL	ST	RTID	N	3156779.958	1	6
6021	Craig (CO)	CO	40.4627	-107.5912	CL	ST	RTID	N	9281410.042	1	6
58081	Western Sugar Coop- Ft Morgan	CO	40.254167	-103.791111	CL	ST		Y	7530	1	6
568	Bridgeport Station	CT	41.1706	-73.1844	CL	ST	ON	N	831988.003	1	7
594	Indian River Generating Station	DE	38.5857	-75.2341	CL	ST	RTID	N	871739.003	1	8
641	Crist	FL	30.5661	-87.2244	CL	ST	MULTI	N	3469284.032	1	9
628	Crystal River	FL	28.9656	-82.6977	CL	ST	MULTI	N	11760274.96	1	9
645	Big Bend	FL	27.7944	-82.4036	CL	ST	ON	N	10116411.73	1	9
50976	Indiantown Cogeneration LP	FL	27.0389	-80.5125	CL	ST	RTID	Y	659633.999	1	9
10672	Cedar Bay Generating Company LP	FL	30.4225	-81.6064	CL	ST	RTID	Y	879977	1	9
207	St Johns River Power Park	FL	30.4308	-81.5508	CL	ST	RTND	N	7144486.045	1	9
136	Seminole (FL)	FL	29.733056	-81.632778	CL	ST	RTND	N	8210874.049	1	9
642	Scholz	FL	30.6692	-84.8869	CL	ST		N	31637	1	9
727	Mitchell (GA)	GA	31.444728	-84.134696	CL	ST	ON	N	71770	1	10
6124	McIntosh	GA	32.356287	-81.168347	CL	ST	ON	N	256912.001	1	10
708	Hammond	GA	34.2528	-85.3456	CL	ST	ON	N	1130525.98	1	10
709	Harllee Branch	GA	33.195	-83.2983	CL	ST	ON	N	2537860.048	1	10
728	Yates	GA	33.4622	-84.8986	CL	ST	RTID	N	716054.005	1	10
6052	Wansley	GA	33.41342	-85.032329	CL	ST	RTID	N	4852781.029	1	10
