County,Renewable,Hydro,Nuclear,Natural.Gas,Coal,Other
01001,472380.33,248178,0,10304141.41,47973.59,6008.681
01005,0,0,0,0,0,0
01015,0,149609,0,217024.93,0,4307.066
01017,0,0,0,0,0,0
01019,0,159382,0,0,0,0
01021,0,464551,0,0,0,0
01023,188627.49,0,0,38474.254,52434.813,779.439
01025,71904.722,0,0,41709.627,0,297.399
01033,0,0,0,4015.908,4739684.9,35409.187
01037,0,384502,0,0,0,0
01039,0,11718,0,2736976.36,0,347.679
01047,283081.402,0,0,267517.677,0,927.926
01051,0,1037349,0,0,0,0
01053,2215.777,0,0,20665.609,0,224042.471
01055,1213.743,0,0,26184.34,202801.92,0
01063,0,0,0,102485.474,2373037.1,234.393
01065,3431,0,0,0,0,0
01069,0,0,14431250,0,0,746
01071,0,0,0,0,4943591.4,8900.592
01073,0,0,0,278208.996,20744448.82,83.902
01077,0,2765838,0,0,0,0
01079,311601.412,1384488,0,71030.832,36175.781,1674.324
01081,0,408517,0,9595625,0,0
01083,0,0,24924872,0,0,0
01085,0,0,0,466962,0,0
01091,11360.285,0,0,2272.841,21866.492,165095.385
01095,0,721985,0,0,0,0
01097,230544.24,0,0,10256143.43,4586201.328,0
01099,54396.422,0,0,230.47,0,1241.108
01103,0,0,0,7881637,0,0
01111,0,84483,0,0,0,0
01113,619105.07,0,0,157966.928,0,0
01117,0,0,0,0,11258151,25883.46
01121,80388.571,304553,0,9423,38863.429,0
01123,0,0,0,4170067,0,0
01125,0,209158,0,0,0,0
01127,0,244503,0,0,4920841.4,15588.65
01129,0,0,0,1071171,3050820.2,9663.805
01131,486411.44,304784,0,29886.165,13228.978,1655.42
02016,3286.538,0,0,0,0,92847.662
02020,0,0,0,1195197.576,0,291.427
02050,0,0,0,0,0,66081
02060,0,0,0,0,0,19674
02068,0,0,0,0,177939.74,248.259
02070,0,0,0,0,0,21975
02090,0,0,0,2837.823,478445.533,497945.295
02100,0,0,0,0,0,185
02110,0,385796,0,0,0,8177
02122,0,332659,0,2659439.073,0,204.167
02130,0,172674,0,0,0,2603
02150,12445,114186,0,0,0,21851.58
02164,0,0,0,0,0,24
02170,0,66088,0,0,0,3604
02180,0,0,0,0,0,43693
