Consolidated.Description,State.ID,State,Latitude,Longitude,Fuel ,Prime.Mover,Cooling.System,CHP ,Generation.(MWh) 
1,1,AK,64.67141,-147.075988,CL,ST,,Y,68209
1,1,AK,64.825601,-147.648627,CL,ST,,Y,71042.994
1,1,AK,64.847743,-147.735063,CL,ST,,Y,191062
2,1,AK,64.854171,-147.822075,CL/DFO,ST,,Y,47355.275
9,1,AK,64.7356,-147.3481,JF/DFO,CC,,N,273333.005
11,1,AK,60.676539,-151.377713,NG,CC,,N,371284
11,1,AK,61.229713,-149.716744,NG,CC,,N,445581.997
11,1,AK,61.167417,-149.905304,NG,CC,,N,909356
11,1,AK,61.1861,-151.0356,NG,CC,,N,1020951
17,1,AK,63.8542,-148.95,OT,ST,,N,185905
1,2,AL,31.488019,-87.910747,CL,ST,MULTI,N,1876861.007
1,2,AL,32.6017,-87.7811,CL,ST,ON,N,2756619.032
1,2,AL,34.7439,-87.8486,CL,ST,ON,N,3588287.031
1,2,AL,34.883022,-85.755253,CL,ST,ON,N,3705847.958
1,2,AL,33.644344,-87.196486,CL,ST,ON,N,5247433.018
1,2,AL,33.244211,-86.458056,CL,ST,ON,N,6432608.962
1,2,AL,33.6319,-87.0597,CL,ST,RTND,N,18478397.24
3,2,AL,34.0128,-85.9708,CL/NG,ST,ON,Y,216750.001
11,2,AL,31.0069,-88.0103,NG,CC,ON,N,12981028.97
11,2,AL,34.6292,-87.0214,NG,CC,RTID,N,991669
11,2,AL,32.6514,-86.7386,NG,CC,RTID,N,3035953
11,2,AL,31.400255,-86.476449,NG,CC,RTID,N,3193339.013
11,2,AL,34.6397,-87.0639,NG,CC,RTID,Y,3837308
11,2,AL,32.6497,-86.74,NG,CC,RTID,N,4476599
11,2,AL,32.381352,-86.574366,NG,CC,RTID,N,4790497
11,2,AL,33.000669,-85.903278,NG,CC,RTID,N,5027955
11,2,AL,32.6078,-85.0975,NG,CC,RTID,N,10167617
11,2,AL,30.43203,-88.18241,NG,CC,,Y,71749
11,2,AL,30.7478,-88.0575,NG,CC,,N,468635
11,2,AL,32.310226,-86.52542,NG,CC,,Y,537102
11,2,AL,32.426016,-86.870912,NG,CC,,Y,550417
11,2,AL,31.2504,-88.0156,NG,CC,,Y,828885
11,2,AL,30.525445,-88.128477,NG,CC,,Y,1525962
16,2,AL,34.7042,-87.1189,NUC,ST,ON,N,26738300
16,2,AL,31.2231,-85.1116,NUC,ST,RTID,N,14505389
17,2,AL,31.5825,-87.4889,OT,ST,,Y,11305
17,2,AL,33.582793,-86.779866,OT,ST,,Y,13707
17,2,AL,33.568164,-86.79873,OT,ST,,Y,29687.82
17,2,AL,32.960714,-87.655419,OT,ST,,Y,31795
17,2,AL,34.735,-87.3108,OT,ST,,Y,35425.535
17,2,AL,31.5825,-87.4889,OT,ST,,Y,75571
17,2,AL,33.328107,-86.356825,OT,ST,,Y,115281
17,2,AL,31.4894,-87.8989,OT,ST,,Y,123427.36
17,2,AL,32.4541,-87.9759,OT,ST,,Y,153489.999
17,2,AL,33.4885,-86.9212,OT,ST,,N,186610.01
17,2,AL,32.2268,-88.0252,OT,ST,,Y,251787.003
17,2,AL,31.077,-87.1116,OT,ST,,Y,261135.996
17,2,AL,30.736487,-88.051643,OT,ST,,Y,288525.003
17,2,AL,31.9698,-87.4806,OT,ST,,Y,461168.001
17,2,AL,32.4187,-86.4718,OT,ST,,Y,544777.993
17,2,AL,32.1761,-85.0272,OT,ST,,Y,637812.16
1,3,AR,36.2561,-94.5241,CL,ST,RC,N,3635660.007
1,3,AR,35.6644,-89.9489,CL,ST,RTID,N,3626618.97
1,3,AR,33.649722,-93.811944,CL,ST,RTID,N,4422640.975
1,3,AR,34.4228,-92.1406,CL,ST,RTND,N,10526995.36
1,3,AR,35.678442,-91.408761,CL,ST,RTND,N,10990483.71
11,3,AR,35.260102,-91.363426,NG,ST,ON,N,3132
11,3,AR,34.4341,-92.9049,NG,ST,ON,N,90653
11,3,AR,33.5648,-92.7917,NG,ST,ON,N,117552.003
11,3,AR,34.4297,-92.8317,NG,CC,RTID,N,131859
11,3,AR,35.8619,-90.0253,NG,CC,RTID,N,156765.996
11,3,AR,34.5923,-92.2166,NG,CC,RTID,N,159242
11,3,AR,34.29759,-92.868344,NG,CC,RTID,N,1266981
11,3,AR,33.296146,-92.589364,NG,CC,RTID,N,6248560
11,3,AR,35.462382,-93.804926,NG,CC,,N,26085
11,3,AR,34.2181,-91.9025,NG,CC,,Y,1058494
16,3,AR,35.311,-93.2351,NUC,ST,MULTI,N,14478259
17,3,AR,33.6417,-94.1083,OT,ST,ON,Y,719065.999
17,3,AR,36.060514,-91.919802,OT,ST,,Y,6808
17,3,AR,34.5136,-91.5331,OT,ST,,Y,30960
17,3,AR,33.7061,-91.2371,OT,ST,,Y,119227
17,3,AR,34.221213,-91.907365,OT,ST,,Y,424054
17,3,AR,33.1421,-91.975,OT,ST,,Y,494285.609
1,4,AZ,34.9394,-110.3033,CL,ST,MULTI,N,6630104.983
1,4,AZ,32.0603,-109.8931,CL,ST,RTID,N,2620963.018
1,4,AZ,34.5789,-109.2708,CL,ST,RTID,N,5419903.049
1,4,AZ,34.3186,-109.1639,CL,ST,RTID,N,10534766.78
1,4,AZ,36.9047,-111.3886,CL,ST,RTID,N,17297076.44
3,4,AZ,32.16,-110.9047,CL/NG,ST,RTID,N,834567
11,4,AZ,32.975,-112.6944,NG,CC,RTID,N,1081
11,4,AZ,33.5561,-112.2153,NG,ST,RTID,N,12139
11,4,AZ,33.4225,-111.9122,NG,ST,RTID,N,74245
11,4,AZ,33.3556,-111.9353,NG,CC,RTID,N,702452
11,4,AZ,34.8678,-114.5317,NG,CC,RTID,N,1106812
11,4,AZ,33.3417,-112.8897,NG,CC,RTID,N,1128760
11,4,AZ,33.47596,-113.113434,NG,CC,RTID,N,1311008
11,4,AZ,32.9042,-111.7889,NG,CC,RTID,N,1464694
11,4,AZ,32.975,-112.694444,NG,CC,RTID,N,1602451
11,4,AZ,33.4417,-112.1583,NG,CC,RTID,N,1603916
11,4,AZ,33.345,-112.864167,NG,CC,RTID,N,1797783
11,4,AZ,35.054029,-114.133272,NG,CC,RTID,N,2411226
11,4,AZ,32.975,-112.6944,NG,CC,RTID,N,2566958
11,4,AZ,33.3325,-111.7503,NG,CC,RTID,N,2794179
11,4,AZ,33.345047,-112.864227,NG,CC,RTID,N,3393145
11,4,AZ,33.334562,-112.840641,NG,CC,RTID,N,3684787
11,4,AZ,32.240833,-110.948333,NG,CS,,Y,34038.27
11,4,AZ,32.229922,-110.952797,NG,CS,,Y,47690.05
11,4,AZ,33.417222,-111.928333,NG,CS,,Y,50419
11,4,AZ,32.728822,-114.654053,NG,CC,,Y,61811
11,4,AZ,32.7214,-114.7106,NG,ST,,N,189393
16,4,AZ,33.3881,-112.8617,NUC,ST,RTID,N,32320917
17,4,AZ,34.503158,-110.334953,OT,ST,,N,170105.997
1,5,CA,35.765767,-117.383584,CL,ST,RTID,Y,331215
8,5,CA,40.300833,-120.105,GEO,ST,,N,1525
8,5,CA,32.7842,-115.2475,GEO,ST,,N,33960
8,5,CA,32.7757,-115.2637,GEO,ST,,N,46944
8,5,CA,33.1669,-115.5114,GEO,ST,,N,52329
8,5,CA,38.8348,-122.7677,GEO,ST,,N,69072
8,5,CA,33.158,-115.6475,GEO,ST,,N,70725
8,5,CA,32.7757,-115.2637,GEO,ST,,N,71914
8,5,CA,32.8156,-115.2568,GEO,ST,,Y,79904
8,5,CA,32.7881,-115.2481,GEO,ST,,Y,83900
8,5,CA,38.762968,-122.692915,GEO,ST,,N,89366
8,5,CA,33.158,-115.6475,GEO,ST,,N,110714
8,5,CA,38.8339,-122.881,GEO,ST,,N,139692
8,5,CA,38.7881,-122.7219,GEO,ST,,N,207225
8,5,CA,32.7146,-115.518,GEO,ST,,N,248386
